ts,pfcp_messages_total__direction_Outgoing__message_type_Association Setup Request__result_Success,upf_jitter_ns__iface_Access__quantile_100.0,upf_jitter_ns__iface_Access__quantile_50.0,upf_jitter_ns__iface_Access__quantile_75.0,upf_jitter_ns__iface_Access__quantile_90.0,upf_jitter_ns__iface_Access__quantile_95.0,upf_jitter_ns__iface_Access__quantile_99.0,upf_jitter_ns__iface_Access__quantile_99.9,upf_jitter_ns__iface_Access__quantile_99.99,upf_jitter_ns__iface_Access__quantile_99.999,upf_jitter_ns__iface_Access__quantile_99.9999,upf_jitter_ns__iface_Core__quantile_100.0,upf_jitter_ns__iface_Core__quantile_50.0,upf_jitter_ns__iface_Core__quantile_75.0,upf_jitter_ns__iface_Core__quantile_90.0,upf_jitter_ns__iface_Core__quantile_95.0,upf_jitter_ns__iface_Core__quantile_99.0,upf_jitter_ns__iface_Core__quantile_99.9,upf_jitter_ns__iface_Core__quantile_99.99,upf_jitter_ns__iface_Core__quantile_99.999,upf_jitter_ns__iface_Core__quantile_99.9999,upf_latency_ns__iface_Access__quantile_100.0,upf_latency_ns__iface_Access__quantile_50.0,upf_latency_ns__iface_Access__quantile_75.0,upf_latency_ns__iface_Access__quantile_90.0,upf_latency_ns__iface_Access__quantile_95.0,upf_latency_ns__iface_Access__quantile_99.0,upf_latency_ns__iface_Access__quantile_99.9,upf_latency_ns__iface_Access__quantile_99.99,upf_latency_ns__iface_Access__quantile_99.999,upf_latency_ns__iface_Access__quantile_99.9999,upf_latency_ns__iface_Core__quantile_100.0,upf_latency_ns__iface_Core__quantile_50.0,upf_latency_ns__iface_Core__quantile_75.0,upf_latency_ns__iface_Core__quantile_90.0,upf_latency_ns__iface_Core__quantile_95.0,upf_latency_ns__iface_Core__quantile_99.0,upf_latency_ns__iface_Core__quantile_99.9,upf_latency_ns__iface_Core__quantile_99.99,upf_latency_ns__iface_Core__quantile_99.999,upf_latency_ns__iface_Core__quantile_99.9999
2026-06-10 07:44:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:45:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:45:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:46:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:46:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:47:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:47:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:48:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:48:31.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-10 07:49:01.236999989+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
